"","Object_ID","X_COORD","Y_COORD","NO2conc","HEAVYTRAFMAJOR","DISTINVMAJOR1","DISTINVMAJOR2","INTMAJORINVDIST","INTMAJORINVDIST2","TRAFMAJOR","TRAFNEAR","DISTINVNEAR1","DISTINVNEAR2","INTINVDIST","INTINVDIST2","HEAVYTRAFNEAR","TRAFMAJORLOAD_1000","TRAFMAJORLOAD_500","TRAFMAJORLOAD_300","TRAFMAJORLOAD_100","TRAFMAJORLOAD_50","TRAFMAJORLOAD_25","HEAVYTRAFMAJORLOAD_1000","HEAVYTRAFMAJORLOAD_500","HEAVYTRAFMAJORLOAD_300","HEAVYTRAFMAJORLOAD_100","HEAVYTRAFMAJORLOAD_50","HEAVYTRAFMAJORLOAD_25","MAJORROADLENGTH_1000","MAJORROADLENGTH_500","MAJORROADLENGTH_300","MAJORROADLENGTH_100","MAJORROADLENGTH_50","MAJORROADLENGTH_25","HEAVYTRAFLOAD_1000","HEAVYTRAFLOAD_500","HEAVYTRAFLOAD_300","HEAVYTRAFLOAD_100","HEAVYTRAFLOAD_50","HEAVYTRAFLOAD_25","ROADLENGTH_1000","ROADLENGTH_500","ROADLENGTH_300","ROADLENGTH_100","ROADLENGTH_50","ROADLENGTH_25","TRAFLOAD_1000","TRAFLOAD_500","TRAFLOAD_300","TRAFLOAD_100","TRAFLOAD_50","TRAFLOAD_25","HDRES_5000","HDRES_1000","HDRES_500","HDRES_300","HDRES_100","LDRES_5000","LDRES_1000","LDRES_500","LDRES_300","LDRES_100","INDUSTRY_5000","INDUSTRY_1000","INDUSTRY_500","INDUSTRY_300","INDUSTRY_100","PORT_5000","PORT_1000","PORT_500","PORT_300","PORT_100","URBGREEN_5000","URBGREEN_1000","URBGREEN_500","URBGREEN_300","URBGREEN_100","NATURAL_5000","NATURAL_1000","NATURAL_500","NATURAL_300","NATURAL_100","POP_5000","POP_1000","POP_500","POP_300","POP_100","HHOLD_5000","HHOLD_1000","HHOLD_500","HHOLD_300","HHOLD_100"
"0",1,415833,431368,52.95,745.5,0.074787584084846,0.00559318273324792,1262.33963176812,94.4073313544916,16879,2062.797849,0.192778028529157,0.0371633682835886,397.662102584406,76.6605161569813,64.8479,132102516.926975,40819319.9374943,22844323.2482272,8350636.11110112,4322910.54080429,972634.151353456,5594919.49505126,1743140.68467831,1008972.27214606,368825.121205396,190931.323429682,42958.6326105813,8881.7904157106,2809.95012777455,1353.41686404569,494.735239712135,256.111768517346,57.6239203361251,7444758.37969228,2323330.05624149,1237758.77998502,403428.728214932,200231.421879394,46887.8379893675,52263.7420399981,17024.4759275205,6712.51414803379,1161.51062102438,415.597240303851,127.612207667111,196016551.887709,61025842.476442,30730569.8857547,9495629.93182496,4624086.51521962,1100744.76058313,622587.507831873,0,0,0,0,46111062.1160322,2926421.56357524,772542.485946437,278115.294937413,30901.6994383975,3591660.82870363,0,0,0,0,0,0,0,0,0,27040112.2474174,163748.38017236,0,0,0,807264.448241052,0,0,0,0,244051,19750,7172,2671,214,87734,7007,2320,741,72
"1",3,415319,432278,37.93,159,0.144137045995292,0.020775488028249,1122.39517716534,161.778725275975,7787,7787,0.144137045995292,0.020775488028249,1122.39517716534,161.778725275975,159,96127036.6316622,18482706.1370933,7138671.67371053,1540431.78214411,766003.351928039,369542.036906135,3506035.2061318,536461.857323705,166582.930112113,31453.5319585095,15640.7516317655,7545.54820445299,9604.94683840207,2394.7061415415,999.588225251556,197.820955713896,98.3695071180223,47.4562780154276,5129144.53240373,865305.78641334,294110.22912236,36745.5699427514,15931.3203818455,7545.54820445299,47407.8168699441,10255.7625939693,4311.53957478162,424.065827785081,110.004124430881,47.4562780154276,153097999.755783,29870508.1966075,11642463.3442267,1756844.41908204,777624.051988062,369542.036906135,622587.507831873,0,0,0,0,49632881.7428868,2805467.15842884,704346.732270563,278115.294937413,30901.6994383975,3845941.52929318,25516.1538710064,0,0,0,0,0,0,0,0,31536660.4592044,259186.631446972,68195.7536759894,0,0,567230.793840548,0,0,0,0,263020,19767,5842,2214,587,95428,5621,1226,381,99
"2",4,415268,432962,37.78,239.512,0.0115868393180965,0.000134254845383386,91.4044490709579,1.05908866434432,7888.64387963,1785.79299104,0.122258741844428,0.0149471999573826,218.328804279149,26.6926049195672,54.4671,114458735.788378,17262179.0899148,7086745.22623216,817038.450785332,0,0,3923943.26686602,540114.427175879,214714.439953372,24794.198833141,0,0,11930.6997013692,2508.48696628919,923.054145392747,104.252585896189,0,0,5610226.31621626,908833.466275359,387411.254433048,45440.9810828097,8369.8567970905,3436.8604288232,48350.7088766357,9387.0522163566,4143.34612739451,540.020515222196,188.930545696704,73.850681673911,173540986.789151,29396759.405585,12765391.1632859,1512822.68762053,286139.886349739,116256.455534215,622587.507831873,214761.453242833,1860.9329298569,0,0,52115555.7162513,2564849.73009301,689051.730044577,278115.294937413,30901.6994383975,3427601.00889882,306266.384927824,81629.8229714931,0,0,0,0,0,0,0,36537215.4546014,4292.37548409829,0,0,0,643798.934595801,0,0,0,0,274342,15815,2058,805,NA,99890,3879,344,96,NA
"3",5,414278,432387,36.28,209.299,0.00488600257320631,0.0000238730211453787,34.02603645864,0.166251301692927,6963.98250898,1124.27073777,0.173925433066042,0.0302500562672102,195.539274950126,34.0092530771204,29.6764,78090172.6362161,18599970.1944717,3531712.31351216,0,0,0,2856711.33284248,675616.111619867,106235.274924061,0,0,0,7674.3261532458,2031.48228431498,502.127391032334,0,0,0,4010103.85997473,1077824.87395339,261151.204024213,22616.1062906881,7790.45151819083,1515.77104724003,37899.5861442955,11780.6959528269,4564.52071466638,759.557342334918,261.984605266952,58.6221915636187,119321910.62804,32932759.6056033,9167067.67923983,855953.687933328,294960.184690638,59931.9198862328,622587.507831873,0,0,0,0,47064711.9001046,2647981.98705774,772542.485946437,278115.294937413,30901.6994383975,3333935.31307459,213484.880088795,0,0,0,0,0,0,0,0,32257655.6096625,132334.767603497,0,0,0,898315.718506458,0,0,0,0,249906,17524,7432,4012,758,90268,5291,1997,976,217
"4",6,414713,434100,52.73,409,0.12513633959517,0.0156591034872777,2000.1792520892,250.295110140647,15984,15984,0.12513633959517,0.0156591034872777,2000.1792520892,250.295110140647,409,96697835.2196418,33971426.1956874,17931032.389073,3159034.36052896,1559377.75698011,754465.549655316,3105856.91194202,1017612.85159249,529523.987682843,80833.6494905121,39901.4954082123,19305.330944008,9081.97855509396,3086.86772144475,1482.86995480228,197.637284817878,97.5586684797367,47.2012981516089,4748165.75068123,1391950.46276751,677290.881747933,101248.153888127,45359.4071372231,20789.6864905026,49258.3749156136,13095.3840533272,5539.23594094194,711.782794745971,243.893152064382,78.0117526243313,155041923.737855,47390662.0551754,23269158.6253997,3874671.36478658,1753656.56891019,804315.258857976,622587.507831873,0,0,0,0,51663584.005066,2552559.65124614,772542.485946437,278115.294937413,30901.6994383975,2409912.53664154,434811.722286229,0,0,0,0,0,0,0,0,33216832.3432661,0,0,0,0,1214948.47979496,0,0,0,0,273655,25130,7279,3322,564,100460,6832,2004,892,146
"5",7,415255,434228,36.01,325,0.00674641295904952,0.0000455140878140313,125.395577669853,0.8459703501994,18587,673.830780284,0.156815994037645,0.0245912559860148,105.667443623398,16.5703452092199,12.7961,117912306.912008,38465177.9303573,9364292.25148756,0,0,0,4078940.72912954,1222751.24016417,206040.649693785,0,0,0,9952.41661721884,2727.86344704073,549.55082567271,0,0,0,5690588.82846253,1639887.6819927,366784.812981823,15239.2932930486,2356.01493175179,614.68497156652,47354.1944925074,14018.4552721322,5364.89541685734,566.964950921912,119.14981162292,48.0368996464954,174870119.782066,53417114.2025125,15254144.9116935,595095.586550801,102471.145441628,32368.7415712222,622587.507831873,47622.7382534606,0,0,0,53330885.2705015,2580263.7687879,765498.76443045,278115.294937413,30901.6994383975,2532240.40265753,402197.443009894,7043.721515983,0,0,0,0,0,0,0,40823369.3441203,30429.7154227948,0,0,0,1604362.57164275,0,0,0,0,281057,19219,6547,2590,736,103478,5459,1803,685,182
"6",8,415851,434011,50.65,325,0.00674641295904952,0.0000455140878140313,125.395577669853,0.8459703501994,18587,16907,0.112099190444139,0.0125662284982313,1895.26101283906,212.457225219597,948,213030380.693887,31402562.6888914,12780895.4378047,3346330.4213429,1672277.2932624,790011.670500425,7699917.00758896,1388928.07700454,646277.056149429,187633.59788449,93767.0121259099,44297.0996412375,16632.4275384916,2912.72508429818,946.976810196465,197.925736165074,98.9103503437868,46.7268983557358,9599626.49306831,1853307.74890836,833617.825329162,209117.00165078,96556.3246033544,45632.4608183337,53333.9291906006,12401.6159215772,5003.0520428401,562.681566517026,156.473220311356,74.2846648012325,277253805.491939,47404826.3708885,19128097.9799444,4040836.49582195,1765840.71738298,834804.416088136,622587.507831873,306571.012768224,3863.48598841864,0,0,54288334.4881277,2277777.98876835,602550.795548478,222649.431704144,30901.6994383975,2756863.72538631,451447.272445217,166128.204409013,55465.8632333738,0,0,0,0,0,0,54936280.1127893,54373.6697649025,0,0,0,1388968.72600383,0,0,0,0,285099,10558,2951,1794,15,105134,3231,765,343,3
"7",9,414662,435594,29.71,948,0.112099190444139,0.0125662284982313,1895.26101283906,212.457225219597,16907,1470.38852928,0.0666171338657378,0.00443784252448563,97.9530694896911,6.52535274275467,42.6472,80001008.8563734,16824480.6956647,977271.382484142,0,0,0,3154320.81643217,615068.001278935,29010.3695457787,0,0,0,4265.71059343382,892.123044060733,160.113154581953,0,0,0,4396522.79418559,981290.258622757,157046.428425924,8159.94708181551,3923.50268306653,1648.47942662865,32179.9830211882,8544.30643505976,2638.79124162501,191.336056805969,91.9990687094704,38.6538723908873,124246826.205928,29803123.7118157,5466328.2364274,281338.343165163,135274.375334848,56836.2105758136,622587.507831873,0,0,0,0,47520553.1817425,1954955.36204358,526024.965531777,203816.207138351,30901.6994383975,1965280.61161964,7.82585461189932,0,0,0,0,0,0,0,0,26252630.3695227,413819.774445153,191487.948299793,74299.0877992595,0,3557791.20826708,0,0,0,0,254686,12156,2239,569,100,93550,3759,723,139,24
"8",10,413135,435529,30.46,218.86,0.00798317212512275,0.000063731037179337,57.930701638219,0.462470762507033,7256.60185328,7754.48142149,0.0727270700119502,0.0052892267125231,563.96071324707,41.015210276309,273.941,33856922.9781553,17798353.9615513,10241591.1137637,2290165.99939428,736240.923962775,318548.404225915,1123664.78019404,599926.115199761,348141.894995468,79050.4088265884,26009.0345167831,11253.2951797677,3781.53394767891,1757.03816947047,962.149345530476,246.673671490203,94.9439277683264,41.0792658994735,2053838.28671143,770334.519563939,423907.300737128,83522.4239439264,26009.0345167831,11253.2951797677,28391.2213448776,6518.31019923281,3123.56237063528,359.398073581161,94.9439277683264,41.0792658994735,67100636.9050873,24078076.9314487,13098552.2745372,2446965.49186668,736240.923962775,318548.404225915,614142.25272136,0,0,0,0,40547609.8776478,1606221.43604945,499349.068094957,195779.458655171,27399.0330420764,1965280.61161964,292809.037362688,70506.8476337971,647.605642532451,0,0,0,0,0,0,22725401.1921204,0,0,0,0,2973838.99504064,59064.3968177268,0,0,0,214117,9303,2444,982,105,79766,3245,941,355,38
"9",11,410411,435309,26.57,273.941,0.0727270700119502,0.0052892267125231,563.96071324707,41.015210276309,7754.48142149,3685.55865224,0.243129727882626,0.0591120645802799,896.06887221457,217.86098106562,97.7873,23113978.2436796,3085500.62328369,432245.936145653,0,0,0,780711.036811764,107622.995321518,15075.0289246992,0,0,0,2937.55867891311,361.727214106636,50.6265894861427,0,0,0,1317729.83808236,287280.011255214,131385.639691038,19467.5285323775,9652.78724119903,4764.56662574262,14908.8555192908,2339.78430259998,1067.1314965432,199.080335916601,98.7120744841,48.7237772772397,41939114.4159131,8733146.96971834,4098326.35255185,733722.254528275,363809.140195434,179574.338913945,0,0,0,0,0,23660314.8523437,651423.964611408,14502.8765906046,0,0,991114.198371472,0,0,0,0,0,0,0,0,0,10381205.2526871,0,0,0,0,5850170.02914656,0,0,0,0,127350,2853,160,69,NA,47618,1167,57,27,NA
